"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"1990","3A1a Dairy cattle","Hydrofluorocarbons (HFCs)",-
"1990","3A1a Dairy cattle","Perfluorocarbons (PFCs)",-
"1990","3A1a Dairy cattle","Sulfur hexafluoride (SF6)",-
"1990","3A1b Non-dairy cattle","Total",983
"1990","3A1b Non-dairy cattle","Carbon dioxide (CO2)",-
"1990","3A1b Non-dairy cattle","Methane (CH4)",983
"1990","3A1b Non-dairy cattle","Nitrous oxide (N2O)",-
"1990","3A1b Non-dairy cattle","F-gases (HFCs+PFCs+SF6)",-
"1990","3A1b Non-dairy cattle","Hydrofluorocarbons (HFCs)",-
"1990","3A1b Non-dairy cattle","Perfluorocarbons (PFCs)",-
"1990","3A1b Non-dairy cattle","Sulfur hexafluoride (SF6)",-
"1990","3A2 Sheep","Total",24
"1990","3A2 Sheep","Carbon dioxide (CO2)",-
"1990","3A2 Sheep","Methane (CH4)",24
"1990","3A2 Sheep","Nitrous oxide (N2O)",-
"1990","3A2 Sheep","F-gases (HFCs+PFCs+SF6)",-
"1990","3A2 Sheep","Hydrofluorocarbons (HFCs)",-
"1990","3A2 Sheep","Perfluorocarbons (PFCs)",-
"1990","3A2 Sheep","Sulfur hexafluoride (SF6)",-
"1990","3A3 Swine","Total",37
